"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that multiple persisted orders are counted correctly.","27","Count persisted orders","","2026-07-11","broken","2026-07-11","","com.ust.sdet.tests.integration.OrderRepositoryIntegrationTest","com.ust.sdet.tests.integration.OrderRepositoryIntegrationTest","countsOrders"
"Verifies that an order can be retrieved correctly using its SKU.","70","Find order by SKU","","2026-07-11","broken","2026-07-11","","com.ust.sdet.tests.integration.OrderRepositoryIntegrationTest","com.ust.sdet.tests.integration.OrderRepositoryIntegrationTest","findsOrderBySku"
"Verifies that only shipped orders are included in the shipped order count.","43","Count shipped orders","","2026-07-11","broken","2026-07-11","","com.ust.sdet.tests.integration.OrderRepositoryIntegrationTest","com.ust.sdet.tests.integration.OrderRepositoryIntegrationTest","countsOnlyShippedOrders"
"Verifies that a new order is successfully persisted into the PostgreSQL database.","84","Create a new order","","2026-07-11","broken","2026-07-11","","com.ust.sdet.tests.integration.OrderRepositoryIntegrationTest","com.ust.sdet.tests.integration.OrderRepositoryIntegrationTest","createsOrder"
